n-id-610,37.620093,-122.39319,n-id-253,37.620323,-122.39242,236.87766
n-id-253,37.620323,-122.39242,n-id-130,37.620403,-122.39227,51.828729
n-id-224,37.617064,-122.37931,n-id-225,37.61765,-122.37864,287.66287
n-id-133,37.619977,-122.39373,n-id-610,37.620093,-122.39319,161.73188
S6,37.620309,-122.39193,n-id-130,37.620403,-122.39227,105.07896
n-id-251,37.620136,-122.39246,n-id-130,37.620403,-122.39227,111.57705
n-id-606,37.620495,-122.39326,n-id-243,37.621081,-122.39287,241.16931
n-id-243,37.621081,-122.39287,n-id-317,37.621549,-122.39256,192.75861
n-id-349,37.620763,-122.39204,n-id-328,37.621189,-122.39176,175.17789
n-id-317,37.621549,-122.39256,n-id-329,37.622116,-122.39218,233.4275
n-id-130,37.620403,-122.39227,n-id-342,37.620605,-122.39264,128.79097
n-id-69,37.622701,-122.3875,n-id-364,37.623034,-122.3883,262.80188
n-id-374,37.622152,-122.38795,n-id-60,37.622476,-122.38873,256.66645
n-id-399,37.622312,-122.38656,n-id-69,37.622701,-122.3875,305.10436
n-id-419,37.610744,-122.38353,n-id-432,37.611425,-122.3831,277.50434
n-id-431,37.610507,-122.38277,n-id-442,37.611138,-122.38235,260.13026
n-id-452,37.621004,-122.38522,n-id-467,37.621236,-122.38577,181.85378
n-id-467,37.621236,-122.38577,n-id-411,37.621392,-122.38614,121.8034
n-id-302,37.619669,-122.38027,n-id-498,37.620763,-122.38293,866.57717
n-id-498,37.620763,-122.38293,n-id-487,37.621037,-122.38358,213.83912
n-id-511,37.623684,-122.38986,n-id-48,37.624081,-122.3908,307.74097
n-id-528,37.614228,-122.3803,n-id-233,37.616284,-122.37894,845.85163
n-id-519,37.613923,-122.38142,n-id-529,37.614541,-122.38103,252.34408
n-id-442,37.611138,-122.38235,n-id-541,37.613609,-122.38071,1016.9561
n-id-541,37.613609,-122.38071,n-id-528,37.614228,-122.3803,255.18189
n-id-561,37.619913,-122.38261,n-id-476,37.620186,-122.38326,213.15876
n-id-575,37.615709,-122.38026,n-id-221,37.616549,-122.37969,347.45428
n-id-596,37.613352,-122.38645,n-id-758,37.612884,-122.38676,193.17068
