n-id-36,37.626693,-122.37046
n-id-42,37.608932,-122.38226
n-id-43,37.608192,-122.37982
n-id-60,37.622476,-122.38873
n-id-69,37.622701,-122.3875
n-id-130,37.620403,-122.39227
n-id-133,37.619977,-122.39373
n-id-168,37.62794,-122.39664
n-id-220,37.613623,-122.38164
n-id-221,37.616549,-122.37969
n-id-225,37.61765,-122.37864
n-id-233,37.616284,-122.37894
n-id-242,37.617383,-122.37945
n-id-313,37.619084,-122.37991
n-id-316,37.61941,-122.37967
n-id-317,37.621549,-122.39256
n-id-328,37.621189,-122.39176
n-id-329,37.622116,-122.39218
n-id-341,37.621783,-122.39136
n-id-342,37.620605,-122.39264
n-id-358,37.623116,-122.39091
n-id-364,37.623034,-122.3883
n-id-374,37.622152,-122.38795
n-id-375,37.621698,-122.38687
n-id-385,37.621953,-122.38571
n-id-399,37.622312,-122.38656
n-id-411,37.621392,-122.38614
n-id-431,37.610507,-122.38277
n-id-432,37.611425,-122.3831
n-id-442,37.611138,-122.38235
n-id-452,37.621004,-122.38522
n-id-476,37.620186,-122.38326
n-id-487,37.621037,-122.38358
n-id-488,37.620498,-122.38401
n-id-498,37.620763,-122.38293
n-id-499,37.62281,-122.38954
n-id-511,37.623684,-122.38986
n-id-519,37.613923,-122.38142
n-id-528,37.614228,-122.3803
n-id-529,37.614541,-122.38103
n-id-541,37.613609,-122.38071
n-id-542,37.609859,-122.38493
n-id-548,37.611121,-122.38796
n-id-554,37.611599,-122.38814
n-id-561,37.619913,-122.38261
n-id-575,37.615709,-122.38026
n-id-606,37.620495,-122.39326
n-id-467,37.621236,-122.38577
n-id-48,37.624081,-122.3908
n-id-251,37.620136,-122.39246
n-id-243,37.621081,-122.39287
n-id-270,37.623706,-122.3905
n-id-302,37.619669,-122.38027
n-id-312,37.618396,-122.37977
n-id-726,37.619127,-122.38074
n-id-576,37.610926,-122.38858
n-id-758,37.612884,-122.38676
n-id-596,37.613352,-122.38645
n-id-584,37.611598,-122.38701
n-id-760,37.612744,-122.38686
n-id-764,37.611304,-122.3863
n-id-766,37.611057,-122.38571
n-id-769,37.610972,-122.38551
n-id-205,37.614229,-122.38408
n-id-779,37.614066,-122.3837
n-id-775,37.613976,-122.38346
n-id-781,37.613892,-122.38328
n-id-783,37.613798,-122.38305
n-id-785,37.613717,-122.38286
n-id-226,37.616253,-122.38244
n-id-789,37.61611,-122.38211
n-id-791,37.615944,-122.3817
n-id-793,37.615808,-122.38138
n-id-799,37.61605,-122.38196
n-id-805,37.616972,-122.37953
n-id-807,37.617544,-122.37946
n-id-809,37.617739,-122.37947
n-id-811,37.618258,-122.37967
n-id-821,37.618831,-122.3828
n-id-562,37.618408,-122.38308
n-id-833,37.618491,-122.38302
n-id-819,37.618668,-122.38291
n-id-837,37.618757,-122.38285
n-id-841,37.620293,-122.38351
n-id-843,37.620002,-122.38536
n-id-845,37.619891,-122.38543
n-id-459,37.619318,-122.38581
n-id-847,37.61953,-122.38567
n-id-861,37.620144,-122.38596
n-id-863,37.620416,-122.38579
n-id-869,37.621982,-122.38754
n-id-881,37.619772,-122.39064
n-id-885,37.619526,-122.39007
n-id-887,37.619299,-122.38951
n-id-889,37.61905,-122.38892
n-id-616,37.618944,-122.38867
n-id-903,37.618598,-122.38965
n-id-614,37.618402,-122.38918
n-id-905,37.618897,-122.39036
n-id-907,37.619192,-122.39107
n-id-909,37.619439,-122.39165
n-id-915,37.616772,-122.39238
n-id-917,37.617087,-122.39313
n-id-919,37.617397,-122.39386
n-id-921,37.618124,-122.39504
n-id-923,37.618591,-122.39524
n-id-931,37.612786,-122.38738
n-id-933,37.612098,-122.38784
n-id-939,37.61011,-122.38983
n-id-941,37.611323,-122.3916
n-id-943,37.611557,-122.3917
n-id-947,37.613151,-122.39105
n-id-949,37.61279,-122.39128
n-id-951,37.612293,-122.39162
n-id-839,37.618874,-122.38277
n-id-859,37.61997,-122.38608
n-id-883,37.619732,-122.39055
n-id-224,37.617064,-122.37931
n-id-322,37.621636,-122.39197
n-id-349,37.620763,-122.39204
n-id-369,37.622537,-122.38815
n-id-380,37.621844,-122.3863
n-id-419,37.610744,-122.38353
n-id-425,37.610953,-122.38291
n-id-481,37.620614,-122.38346
n-id-535,37.614055,-122.38087
n-id-610,37.620093,-122.39319
n-id-253,37.620323,-122.39242
