Airline,Departing to,Flight,Scheduled,Estimated,Remarks,Terminal,Gate
American Airlines,New York/JFK,164,上午08:19,上午08:19,On Time,2,57
Alaska Airlines,Dallas/Love Field,3404,上午08:20,上午08:20,On Time,2,50A
Hawaiian Airlines,Honolulu/Oahu,11,上午08:20,上午08:20,On Time,Int'l,A10
Air Canada,Vancouver,8839,上午08:20,上午08:20,On Time,Int'l,G92
United,Minneapolis,5686,上午08:23,上午08:23,On Time,3,71B
Alaska Airlines,Portland,383,上午08:25,上午08:25,On Time,2,54A
United,Chicago/O'Hare,639,上午08:30,上午08:30,On Time,3,87
United,Boston,768,上午08:30,上午08:30,On Time,3,81
United,Portland,1178,上午08:30,上午08:30,On Time,3,85
United,Washington/Reagan,1672,上午08:30,上午08:30,On Time,3,65
United,San Jose/Los Cabos,1761,上午08:30,上午08:30,On Time,3,63
United,Orange County,2096,上午08:30,上午08:30,On Time,3,83
United,Sacramento,5445,上午08:30,上午08:30,On Time,3,84D
Alaska Airlines,San Diego,1966,上午08:30,上午08:30,On Time,2,52
United,San Luis Obispo,5696,上午08:30,上午08:30,On Time,3,84B
United,Redmond,5879,上午08:30,上午08:30,On Time,3,84C
United,Madison,5914,上午08:30,上午08:30,On Time,3,77B
United,Denver,948,上午08:32,上午08:32,On Time,3,90
United,Los Angeles,234,上午08:33,上午08:33,On Time,3,69
United,Medford,5575,上午08:35,上午08:35,On Time,3,76
Delta Air Lines,New York/JFK,1859,上午08:35,上午08:35,On Time,1,43
United,Tucson,5802,上午08:37,上午08:37,On Time,3,78
United,Kona/Hawaii,1721,上午08:40,上午08:40,On Time,3,66
United,Ontario,5249,上午08:40,上午08:40,On Time,3,87A
Alaska Airlines,Portland,3417,上午08:40,上午08:40,On Time,2,59C
United,Seattle,1835,上午08:42,上午08:42,On Time,3,73
United,Honolulu/Oahu,1175,上午08:45,上午08:45,On Time,3,80
Alaska Airlines,Austin,1218,上午08:50,上午08:50,On Time,2,51B
Alaska Airlines,New York/JFK,1022,上午08:50,上午08:50,On Time,2,55
United,Dallas-Fort Worth,5682,上午08:46,上午08:46,On Time,3,70
Southwest,San Diego,1775,上午08:50,上午08:50,On Time,1,B9
United,Vancouver,784,上午08:50,上午08:50,On Time,3,74
United,Pittsburgh,2229,上午08:50,上午08:50,On Time,3,89
