Airline,Departing to,Flight,Scheduled,Estimated,Remarks,Terminal,Gate
Emirates,Dubai,226,下午04:45,下午04:45,On Time,Int'l,
United,Eugene,5832,下午04:48,下午04:48,On Time,3,79
Delta Air Lines,Salt Lake City,1241,下午04:46,下午04:46,On Time,1,40
United,Los Angeles,229,下午05:00,下午05:00,On Time,3,73
Air Canada,Vancouver,571,下午04:50,下午04:50,On Time,Int'l,G101B
Alaska Airlines,Dallas/Love Field,3348,下午04:55,下午04:55,On Time,2,53
Southwest,Kansas City,1842,下午04:55,下午04:55,On Time,1,B17
Alaska Airlines,Portland,359,下午04:55,下午04:55,On Time,2,51A
American Airlines,Chicago/O'Hare,363,下午05:00,下午05:20,,2,57
Alaska Airlines,Las Vegas,1930,下午05:00,下午05:00,On Time,2,59A
American Airlines,Los Angeles,6045,下午05:00,下午05:00,On Time,1,45B
United,New Orleans,376,下午05:00,下午05:00,On Time,3,89
United,Newark,2160,下午05:15,下午05:15,On Time,3,85
Alaska Airlines,Seattle,1755,下午05:00,下午05:00,On Time,2,52
Alaska Airlines,Palm Springs,3444,下午05:25,下午05:25,On Time,2,50A
United,Chicago/O'Hare,1187,下午05:22,下午05:22,On Time,3,65
United,Kahului,1749,下午05:30,下午05:30,On Time,3,87
Delta Air Lines,Los Angeles,2936,下午05:30,下午05:30,On Time,1,42
Scandinavian Airlines,Copenhagen,936,下午05:35,下午05:35,On Time,Int'l,
United,Boise,5327,下午05:30,下午05:30,On Time,3,71A
Aer Lingus,Dublin,146,下午05:40,下午05:40,On Time,Int'l,
United,San Luis Obispo,5865,下午05:35,下午05:35,On Time,3,84A
United,San Diego,1798,下午05:40,下午05:40,On Time,3,75
Alaska Airlines,Austin,1222,下午05:55,下午05:55,On Time,2,51B
Southwest,Las Vegas,345,下午05:55,下午05:55,On Time,1,B18
United,Denver,2031,下午05:50,下午05:50,On Time,3,81
United,Kona/Hawaii,1723,下午05:58,下午05:58,On Time,3,82
Virgin Atlantic,London/Heathrow,20,下午06:00,下午06:00,On Time,Int'l,A10
Alaska Airlines,Los Angeles,1936,下午06:00,下午06:00,On Time,2,54B
United,Fayetteville,5289,下午05:59,下午05:59,On Time,3,77B
Alaska Airlines,Salt Lake City,3450,下午06:05,下午06:05,On Time,2,59B
Alaska Airlines,Seattle,1673,下午06:05,下午06:05,On Time,2,55
Alaska Airlines,Chicago/O'Hare,220,下午06:10,下午06:10,On Time,2,54A
United,Orange County,5728,下午06:01,下午06:01,On Time,3,77A
United,Dallas-Fort Worth,1018,下午06:10,下午06:10,On Time,3,66
Turkish Airlines,Istanbul,80,下午06:10,下午06:10,On Time,Int'l,
Southwest,Los Angeles,3774,下午06:10,下午06:10,On Time,1,B13
Alaska Airlines,PAE,2829,下午06:10,下午06:10,On Time,2,53
Southwest,San Diego,1779,下午06:10,下午06:10,On Time,1,B14
Delta Air Lines,Seattle,2191,下午06:10,下午06:10,On Time,1,48
United,Honolulu/Oahu,1670,下午06:10,下午06:10,On Time,3,61
United,Chicago/O'Hare,1800,下午06:15,下午06:15,On Time,3,69
Southwest,Las Vegas,6695,下午06:15,下午06:15,On Time,1,B9
Iberia Airlines,Madrid,6174,下午06:15,下午06:15,On Time,Int'l,A3
United,Burbank,5233,下午06:15,下午06:15,On Time,3,78
Alaska Airlines,Portland,1809,下午06:20,下午06:20,On Time,2,52
United,Ontario,5425,下午06:15,下午06:15,On Time,3,84B
Norwegian,London/Gatwick,7174,下午06:30,下午06:30,On Time,Int'l,A6
United,Seattle,1262,下午06:20,下午06:20,On Time,3,68
United,Los Angeles,2263,下午06:30,下午06:30,On Time,3,74
Southwest,Los Angeles,796,下午06:40,下午06:40,On Time,1,B18
United,Omaha,5216,下午06:33,下午06:33,On Time,3,79
Alaska Airlines,San Diego,1962,下午06:45,下午06:45,On Time,2,53
Delta Air Lines,Salt Lake City,340,下午06:47,下午06:47,On Time,1,44
Southwest,Burbank,1138,下午06:50,下午07:05,,1,B17
Air Canada,Calgary,8590,下午06:55,下午06:55,On Time,Int'l,G91
United,Denver,1968,下午06:45,下午06:45,On Time,3,83
Alaska Airlines,Palm Springs,3398,下午07:05,下午07:05,On Time,2,50B
Alaska Airlines,Seattle,1759,下午07:05,下午07:05,On Time,2,51B
United,Kansas City,798,下午07:05,下午07:05,On Time,3,75
Finnair,Helsinki,12,下午07:10,下午07:10,On Time,Int'l,A4
United,Las Vegas,394,下午07:08,下午07:08,On Time,3,63
United,Eureka,5912,下午07:12,下午07:12,On Time,3,84C
Alaska Airlines,Orange County,2161,下午07:15,下午07:15,On Time,2,54B
United,Frankfurt,926,下午07:15,下午07:15,On Time,Int'l,G99
United,Tucson,5396,下午07:17,下午07:17,On Time,3,76
Delta Air Lines,Los Angeles,2473,下午07:28,下午07:28,On Time,1,43
United,Vancouver,460,下午07:21,下午07:21,On Time,3,73
Southwest,Los Angeles,6665,下午07:30,下午07:30,On Time,1,B9
United,Sacramento,5524,下午07:29,下午07:29,On Time,3,84B
United,Phoenix,2339,下午07:30,下午07:30,On Time,3,89
Alaska Airlines,Las Vegas,1942,下午07:35,下午07:35,On Time,2,55
British Airways,London/Heathrow,286,下午07:35,下午07:35,On Time,Int'l,A9
United,Fresno,5373,下午07:38,下午07:38,On Time,3,78
United,London/Heathrow,930,下午07:40,下午07:40,On Time,Int'l,G92
United,Spokane,5649,下午07:44,下午07:44,On Time,3,77B
United,Tel Aviv,954,下午07:45,下午07:45,On Time,Int'l,G96
United,Palm Springs,5383,下午07:45,下午07:45,On Time,3,84D
Delta Air Lines,Seattle,1455,下午07:45,下午08:09,,1,48
United,Albuquerque,5648,下午07:45,下午07:45,On Time,3,71B
Southwest,San Diego,1357,下午07:50,下午07:50,On Time,1,B13
American Airlines,Charlotte,707,下午07:51,下午07:51,On Time,1,45B
United,Denver,1629,下午07:55,下午07:55,On Time,3,87
SWISS International Airlines,Zurich,39,下午07:55,下午07:55,On Time,Int'l,G100
Alaska Airlines,Los Angeles,1938,下午08:00,下午08:00,On Time,2,51A
United,Los Angeles,1200,下午08:00,下午08:00,On Time,3,67
United,Salt Lake City,5374,下午08:05,下午08:05,On Time,3,71A
United,Boise,5466,下午08:12,下午08:12,On Time,3,79
United,Pasco,5515,下午08:15,下午08:15,On Time,3,84C
Alaska Airlines,Seattle,1325,下午08:15,下午08:15,On Time,2,52
Southwest,Denver,1656,下午08:25,下午08:25,On Time,1,B18
Southwest,Los Angeles,1092,下午08:25,下午08:25,On Time,1,B14
Air France,Paris/De Gaulle,85,下午08:25,下午08:25,On Time,Int'l,A8
JetBlue,Boston,834,下午08:26,下午08:26,On Time,1,B8
United,Eugene,2162,下午08:30,下午08:30,On Time,3,73A
United,San Diego,361,下午08:33,下午08:33,On Time,3,81
United,Boston,1896,下午08:35,下午08:35,On Time,3,85
United,Burbank,5637,下午08:35,下午08:35,On Time,3,84B
JetBlue,New York/JFK,916,下午08:35,下午08:35,On Time,1,B6
United,Las Vegas,681,下午08:36,下午08:36,On Time,3,88
United,Santa Rosa,5709,下午08:45,下午08:45,On Time,3,78
United,San Luis Obispo,5714,下午08:45,下午08:45,On Time,3,84D
United,Orange County,1931,下午08:47,下午08:47,On Time,3,90
American Airlines,Philadelphia,547,下午08:47,下午08:47,On Time,2,45A
Air New Zealand,Auckland,7,下午08:50,下午08:50,On Time,Int'l,G98
Copa Airlines,Panama City,209,下午08:50,下午08:50,On Time,Int'l,G93
Alaska Airlines,San Diego,1964,下午08:50,下午08:50,On Time,2,54B
United,Santa Barbara,5647,下午08:51,下午08:51,On Time,3,77B
United,Seattle,1084,下午08:53,下午08:53,On Time,3,65
Lufthansa,Munich,459,下午08:55,下午08:55,On Time,Int'l,G101
Alaska Airlines,Los Angeles,1940,下午09:00,下午09:00,On Time,2,51A
Delta Air Lines,New York/JFK,610,下午09:00,下午09:00,On Time,1,46
Alaska Airlines,Portland,365,下午09:00,下午09:00,On Time,2,55
Southwest,San Diego,1903,下午09:10,下午09:10,On Time,1,B13
United,Medford,1051,下午09:11,下午09:11,On Time,3,75
United,Newark,349,下午09:15,下午09:15,On Time,3,62
Alaska Airlines,Raleigh/Durham,734,下午09:15,下午09:15,On Time,2,50B
United,Fort Lauderdale,623,下午09:30,下午09:30,On Time,3,74
United,Los Angeles,1294,下午09:30,下午09:30,On Time,3,64
United,Vancouver,1259,下午09:33,下午09:33,On Time,3,68
Delta Air Lines,Cincinnati,1894,下午09:35,下午09:35,On Time,1,43
United,San Diego,1485,下午09:35,下午09:35,On Time,3,61
United,PAE,5883,下午09:38,下午09:38,On Time,3,71B
United,Cincinnati,2311,下午09:40,下午09:40,On Time,3,66
Alaska Airlines,Newark,592,下午09:45,下午09:45,On Time,2,52
United,Orlando,2237,下午09:50,下午09:50,On Time,3,69
United,Phoenix,1469,下午09:57,下午09:57,On Time,3,73
JetBlue,Boston,134,下午10:00,下午11:44,,1,B8
Singapore Airlines,Singapore,33,下午10:05,下午10:05,On Time,Int'l,G94
Alaska Airlines,Las Vegas,916,下午10:10,下午10:10,On Time,2,55
American Airlines,Charlotte,1659,下午10:13,下午10:13,On Time,2,56B
Delta Air Lines,New York/JFK,426,下午10:15,下午10:15,On Time,1,42
Delta Air Lines,Atlanta,1446,下午10:25,下午10:25,On Time,1,40
Alaska Airlines,Boston,1358,下午10:25,下午10:25,On Time,2,54B
Qantas,Sydney,74,下午10:25,下午10:25,On Time,Int'l,A6
United,Newark,726,下午10:30,下午10:30,On Time,3,86
Delta Air Lines,Boston,2570,下午10:30,下午10:30,On Time,1,46
United,Baltimore,1061,下午10:30,下午10:30,On Time,3,70
Air Canada,Toronto,754,下午10:30,下午11:00,,Int'l,G102
United,Ontario,1852,下午10:33,下午10:33,On Time,3,90
United,Monterey,5850,下午10:34,下午10:34,On Time,3,84B
United,Fresno,5627,下午10:35,下午10:35,On Time,3,78
Alaska Airlines,Philadelphia,1138,下午10:35,下午10:35,On Time,2,51A
United,Redmond,5700,下午10:35,下午10:35,On Time,3,77B
United,Redding,5769,下午10:35,下午10:35,On Time,3,84C
United,Santa Barbara,5878,下午10:35,下午10:35,On Time,3,77A
United,Singapore,1,下午10:40,下午10:40,On Time,Int'l,G97
United,Columbus,1626,下午10:40,下午10:40,On Time,3,73A
United,Bakersfield,5260,下午10:40,下午10:40,On Time,3,79
United,Mexico City,412,下午10:45,下午10:45,On Time,Int'l,G95
United,Cancun,1145,下午10:46,下午10:46,On Time,Int'l,67
United,Atlanta,1554,下午10:46,下午10:46,On Time,3,65
United,Reno,724,下午10:48,下午10:48,On Time,3,71A
Delta Air Lines,Detroit,2559,下午10:50,下午10:50,On Time,1,41
United,Las Vegas,2366,下午10:50,下午10:50,On Time,3,81
AeroMexico,Mexico City,665,下午10:55,下午10:55,On Time,Int'l,A2
Air Canada,Montreal,776,下午10:55,下午10:55,On Time,Int'l,G92
United,Sydney,863,下午10:55,下午10:55,On Time,Int'l,G93
United,Toronto,1164,下午11:00,下午11:00,On Time,3,87
United,Chicago/O'Hare,1264,下午11:00,下午11:00,On Time,3,82
American Airlines,Miami,1713,下午11:01,下午11:01,On Time,2,56A
United,Portland,481,下午11:01,下午11:01,On Time,3,69
United,Seattle,351,下午11:05,下午11:05,On Time,3,61
American Airlines,Philadelphia,1103,下午11:05,下午11:05,On Time,2,45A
United,Nashville,2060,下午11:05,下午11:05,On Time,3,68
Frontier Airlines,Austin,1910,下午11:14,下午11:14,On Time,Int'l,A11
JetBlue,Fort Lauderdale,278,下午11:14,下午11:14,On Time,1,B7
Alaska Airlines,New York/JFK,254,下午11:15,下午11:15,On Time,2,59A
American Airlines,New York/JFK,276,下午11:16,下午11:16,On Time,2,57
French Bee,PPT,710,下午11:20,下午11:20,On Time,Int'l,G100
United,Chicago/O'Hare,1140,下午11:30,下午11:30,On Time,3,83
United,Newark,1796,下午11:30,下午11:30,On Time,3,89
Asiana,Seoul,211,下午11:30,下午11:30,On Time,Int'l,G95
United,Washington/Dulles,2114,下午11:30,下午11:30,On Time,3,88
Philippine Airlines,Manila,115,下午11:40,下午11:40,Cancelled,Int'l,
United,Boston,235,下午11:45,下午11:45,On Time,3,85
Philippine Airlines,Manila,105,下午11:45,下午11:45,On Time,Int'l,A3
Korean Air,Seoul,26,下午11:50,下午11:50,On Time,Int'l,A8
United,Houston/Intercontinental,505,下午11:55,下午11:55,On Time,3,64
China Southern,Guangzhou,658,下午11:55,下午11:55,On Time,Int'l,A10
United,Austin,1471,下午11:55,下午11:55,On Time,3,73A
American Airlines,Chicago/O'Hare,1253,下午11:58,下午11:58,On Time,2,45A
SunCountry,Minneapolis,398,下午11:59,下午11:59,On Time,Int'l,A6
JetBlue,New York/JFK,1516,下午11:59,下午11:59,On Time,1,B7
